"title","year","decade","genre_main","imdb_weighted_rating","budget","revenue","profit","profitability","log_budget","log_revenue","tag"
"Kate & Leopold",2001,"2000s","Romance",6.39739834144289,4.8e+07,76019048,28019048,0.583730166666667,7.68124123737559,7.88092242655444,"Intermedia"
"Saturn 3",1980,"1980s","Science Fiction",5.18531405222085,1e+07,4900000,-5100000,-0.51,7,6.69019608002851,"Baja calidad + poco rentable"
"Nine to Five",1980,"1980s","Comedy",6.882893451241,1e+07,103300000,93300000,9.33,7,8.01410032151962,"Intermedia"
"Airplane!",1980,"1980s","Comedy",7.69455336680526,3500000,83453539,79953539,22.8438682857143,6.54406804435028,7.92144475845783,"Alta calidad + muy rentable"
"Altered States",1980,"1980s","Horror",6.88257807888946,1.5e+07,19853892,4853892,0.3235928,7.17609125905568,7.29784565510109,"Intermedia"
"American Gigolo",1980,"1980s","Crime",6.29559108941765,5e+06,52700000,47700000,9.54,6.69897000433602,7.72181061521255,"Intermedia"
"Any Which Way You Can",1980,"1980s","Action",6.10237896930232,1.5e+07,70687344,55687344,3.7124896,7.17609125905568,7.84934166382548,"Intermedia"
"Atlantic City",1980,"1980s","Crime",7.24401794033217,7200000,12729675,5529675,0.768010416666667,6.85733249643127,7.10481731586824,"Intermedia"
"Battle Beyond the Stars",1980,"1980s","Science Fiction",5.55324894986365,2e+06,1.1e+07,9e+06,4.5,6.30102999566398,7.04139268515823,"Baja calidad + muy rentable"
"The Big Brawl",1980,"1980s","Action",5.76241738532857,6e+06,8527743,2527743,0.4212905,6.77815125038364,6.930834103577,"Baja calidad + poco rentable"
"The Big Red One",1980,"1980s","Drama",7.06000232136387,4500000,7206220,2706220,0.601382222222222,6.65321251377534,6.85770751664411,"Intermedia"
"The Blue Lagoon",1980,"1980s","Adventure",5.8042713133148,4500000,58853106,54353106,12.078468,6.65321251377534,7.76976938787725,"Baja calidad + muy rentable"
"The Blues Brothers",1980,"1980s","Music",7.89233966106252,2.7e+07,115229890,88229890,3.2677737037037,7.43136376415899,8.06156514730169,"Alta calidad + muy rentable"
"Bronco Billy",1980,"1980s","Drama",6.19693885449742,6500000,24300000,17800000,2.73846153846154,6.81291335664286,7.38560627359831,"Intermedia"
"Brubaker",1980,"1980s","Crime",7.05717552137322,9e+06,37121708,28121708,3.12463422222222,6.95424250943933,7.56962795024914,"Intermedia"
"Caddyshack",1980,"1980s","Comedy",7.19221456548547,6e+06,39846344,33846344,5.64105733333333,6.77815125038364,7.60038847997391,"Intermedia"
"The Changeling",1980,"1980s","Horror",7.0789569372265,7600000,1.2e+07,4400000,0.578947368421053,6.88081359228079,7.07918124604763,"Intermedia"
"Coal Miner's Daughter",1980,"1980s","Music",7.44136037791513,1.5e+07,67182787,52182787,3.47885246666667,7.17609125905568,7.82725801608223,"Intermedia"
"Cruising",1980,"1980s","Crime",6.48935134012951,1.1e+07,19814523,8814523,0.801320272727273,7.04139268515823,7.29698362191566,"Intermedia"
"The Dogs of War",1980,"1980s","Thriller",6.28766392308109,8e+06,5484132,-2515868,-0.3144835,6.90308998699194,6.73910789946935,"Intermedia"
"Dressed to Kill",1980,"1980s","Thriller",6.98497678617622,6500000,31899000,25399000,3.90753846153846,6.81291335664286,7.50377706859671,"Intermedia"
"The Elephant Man",1980,"1980s","Drama",8.1926927180606,5e+06,2.6e+07,2.1e+07,4.2,6.69897000433602,7.41497334797082,"Alta calidad + muy rentable"
"Fame",1980,"1980s","Drama",6.58353945457807,8500000,4.2e+07,33500000,3.94117647058824,6.92941892571429,7.6232492903979,"Intermedia"
"The Final Countdown",1980,"1980s","War",6.68206863624599,1.2e+07,16647800,4647800,0.387316666666667,7.07918124604763,7.22135684979499,"Intermedia"
"Flash Gordon",1980,"1980s","Science Fiction",6.49480526949874,3.5e+07,27100000,-7900000,-0.225714285714286,7.54406804435028,7.43296929087441,"Intermedia"
"Galaxina",1980,"1980s","Comedy",4.22565506871589,5500000,4865000,-635000,-0.115454545454545,6.74036268949424,6.68708284460437,"Baja calidad + poco rentable"
"Heaven's Gate",1980,"1980s","Drama",6.67250415598829,4.4e+07,3484331,-40515669,-0.920810659090909,7.64345267648619,6.54211940484462,"Intermedia"
"The Hollywood Knights",1980,"1980s","Comedy",6.1932099157756,2500000,1e+07,7500000,3,6.39794000867204,7,"Intermedia"
"The Island",1980,"1980s","Thriller",5.44084222393741,2.2e+07,15700000,-6300000,-0.286363636363636,7.34242268082221,7.19589965240923,"Baja calidad + poco rentable"
"The Jazz Singer",1980,"1980s","Drama",6.02413905609509,1.3e+07,27118000,14118000,1.086,7.11394335230684,7.43325765639735,"Intermedia"
"Kagemusha",1980,"1980s","Action",7.85793453468287,6e+06,4e+06,-2e+06,-0.333333333333333,6.77815125038364,6.60205999132796,"Alta calidad + poco rentable"
"Lion of the Desert",1981,"1980s","History",8.09634669096481,3.5e+07,1502136,-33497864,-0.957081828571429,7.54406804435028,6.17670925448952,"Alta calidad + poco rentable"
"The Long Riders",1980,"1980s","Western",6.85154443167438,1e+07,15795189,5795189,0.5795189,7,7.19852482689619,"Intermedia"
"Motel Hell",1980,"1980s","Comedy",6.00982820790711,3e+06,6342668,3342668,1.11422266666667,6.47712125471966,6.80227197932407,"Intermedia"
"The Octagon",1980,"1980s","Adventure",5.23707427275905,4e+06,18971000,14971000,3.74275,6.60205999132796,7.2780902240376,"Baja calidad + muy rentable"
"Ordinary People",1980,"1980s","Drama",7.6750916700418,6e+06,54766923,48766923,8.1278205,6.77815125038364,7.73851834140971,"Alta calidad + muy rentable"
"Popeye",1980,"1980s","Action",5.41980426916549,2e+07,49823037,29823037,1.49115185,7.30102999566398,7.6974301967481,"Intermedia"
"Private Benjamin",1980,"1980s","Comedy",6.19857853815709,1.5e+07,69800000,54800000,3.65333333333333,7.17609125905568,7.84385542262316,"Intermedia"
"Prom Night",1980,"1980s","Horror",5.33481074543046,1500000,14796236,13296236,8.86415733333333,6.17609125905568,7.17015124969664,"Baja calidad + muy rentable"
"Raging Bull",1980,"1980s","Drama",8.09520473943559,1.8e+07,23380203,5380203,0.298900166666667,7.25527250510331,7.3688482776298,"Alta calidad + poco rentable"
"Raise the Titanic",1980,"1980s","Action",5.33541244875576,3.6e+07,7e+06,-2.9e+07,-0.805555555555556,7.55630250076729,6.84509804001426,"Baja calidad + poco rentable"
"Scanners",1981,"1980s","Science Fiction",6.69196220394569,4100000,14225876,10125876,2.46972585365854,6.61278385671974,7.15307901884584,"Intermedia"
"The Shining",1980,"1980s","Horror",8.39813844938811,1.9e+07,44781695,25781695,1.35693131578947,7.27875360095283,7.65110052772482,"Intermedia"
"Smokey and the Bandit II",1980,"1980s","Action",5.3431638487067,1.7e+07,66100000,49100000,2.88823529411765,7.23044892137827,7.82020145948564,"Intermedia"
"Stardust Memories",1980,"1980s","Comedy",7.15977725342569,1e+07,10389003,389003,0.0389003,7,7.016573871679,"Intermedia"
"Stir Crazy",1980,"1980s","Comedy",6.68360429939711,1e+07,101300000,91300000,9.13,7,8.00560944536028,"Intermedia"
"Superman II",1980,"1980s","Science Fiction",6.79481930330428,5.4e+07,216385706,162385706,3.0071427037037,7.73239375982297,8.33522856877114,"Intermedia"
"Time Bandits",1981,"1980s","Family",6.88997974629921,5e+06,42365581,37365581,7.4731162,6.69897000433602,7.62701316668209,"Intermedia"
"Urban Cowboy",1980,"1980s","Drama",6.48199899858839,1e+07,53300000,43300000,4.33,7,7.72672720902657,"Intermedia"
"Used Cars",1980,"1980s","Comedy",6.67170864460689,8e+06,11715321,3715321,0.464415125,6.90308998699194,7.0687541927724,"Intermedia"
"The Watcher in the Woods",1980,"1980s","Fantasy",6.19487725954489,9e+06,5e+06,-4e+06,-0.444444444444444,6.95424250943933,6.69897000433602,"Intermedia"
"When Time Ran Out...",1980,"1980s","Action",4.94463435097982,2e+07,3763988,-16236012,-0.8118006,7.30102999566398,6.57564823017974,"Baja calidad + poco rentable"
"Xanadu",1980,"1980s","Fantasy",5.44290456267946,2e+07,22762571,2762571,0.13812855,7.30102999566398,7.35722131343714,"Baja calidad + poco rentable"
"Absence of Malice",1981,"1980s","Drama",6.85697317998335,1.2e+07,40716963,28716963,2.39308025,7.07918124604763,7.60977537734615,"Intermedia"
"American Pop",1981,"1980s","Animation",7.05039880079793,1500000,6e+06,4500000,3,6.17609125905568,6.77815125038364,"Intermedia"
"An American Werewolf in London",1981,"1980s","Comedy",7.48992873329567,1e+07,31973249,21973249,2.1973249,7,7.50478676986812,"Intermedia"
"Arthur",1981,"1980s","Comedy",6.87814051623237,7e+06,95461682,88461682,12.6373831428571,6.84509804001426,7.97982908220792,"Intermedia"
"Blow Out",1981,"1980s","Thriller",7.38338652178983,1.8e+07,1.2e+07,-6e+06,-0.333333333333333,7.25527250510331,7.07918124604763,"Intermedia"
"Body Heat",1981,"1980s","Thriller",7.37186243531077,9e+06,24058838,15058838,1.67320422222222,6.95424250943933,7.38127464784279,"Intermedia"
"Das Boot",1981,"1980s","Drama",8.3921480336582,1.4e+07,8.5e+07,7.1e+07,5.07142857142857,7.14612803567824,7.92941892571429,"Alta calidad + muy rentable"
"Buddy Buddy",1981,"1980s","Comedy",6.44680272047722,1e+07,7258543,-2741457,-0.2741457,7,6.86084945395585,"Intermedia"
"Bustin' Loose",1981,"1980s","Comedy",6.11096173256179,1.1e+07,31300000,20300000,1.84545454545455,7.04139268515823,7.49554433754645,"Intermedia"
"The Cannonball Run",1981,"1980s","Action",6.19898716129554,1.8e+07,72179579,54179579,3.00997661111111,7.25527250510331,7.85841434463246,"Intermedia"
"Carbon Copy",1981,"1980s","Comedy",5.7981536594033,6e+06,9566593,3566593,0.594432166666667,6.77815125038364,6.98075729778262,"Baja calidad + poco rentable"
