tmdb_id,imdb_id,title,original_title,release_date,year,original_language,runtime,genres,budget,revenue,popularity,tmdb_vote_average,tmdb_vote_count,production_companies
76600,tt1630029,Avatar: The Way of Water,Avatar: The Way of Water,2022-12-14,2022,en,192,Action | Adventure | Science Fiction,350000000,2353096253,122.9796,7.608,13273,20th Century Studios | Lightstorm Entertainment | TSG Entertainment
840326,tt14846026,Sisu,Sisu,2022-09-09,2022,fi,91,Action | War,6600000,14281199,32.5766,7.412,2583,Subzero Film Entertainment | Good Chaos | Stage 6 Films
661374,tt11564570,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery,2022-11-23,2022,en,140,Comedy | Crime | Mystery,40000000,1.5e+07,22.0039,7.034,6328,T-Street
361743,tt1745960,Top Gun: Maverick,Top Gun: Maverick,2022-05-21,2022,en,131,Action | Drama,170000000,1488732821,18.4922,8.16,10423,Skydance Media | Don Simpson/Jerry Bruckheimer Films | Paramount Pictures
766507,tt11866324,Prey,Prey,2022-08-02,2022,en,100,Thriller | Action | Science Fiction,65000000,0,19.6198,7.673,7405,20th Century Studios | Davis Entertainment | Lawrence Gordon Productions
632856,tt10999120,Spirited,Spirited,2022-11-10,2022,en,127,Comedy,75000000,0,15.5876,6.874,707,Maximum Effort | Gloria Sanchez Productions | Two Grown Men | Apple Studios
829557,tt12996154,365 Days: This Day,365 dni: Ten dzień,2022-04-26,2022,pl,111,Romance | Drama,0,0,15.9038,5.927,1798,Ekipa | Open Mind Production
414906,tt1877830,The Batman,The Batman,2022-03-01,2022,en,177,Crime | Mystery | Thriller,185000000,772319315,15.6919,7.66,11445,6th & Idaho Motion Picture Company | Dylan Clark Productions | DC Films | Warner Bros. Pictures
756999,tt7144666,The Black Phone,The Black Phone,2022-06-16,2022,en,103,Horror | Thriller,16000000,161441914,13.4633,7.5,5566,Blumhouse Productions | Crooked Highway | Universal Pictures
616037,tt10648342,Thor: Love and Thunder,Thor: Love and Thunder,2022-07-06,2022,en,119,Fantasy | Action | Comedy,250000000,760900000,14.2913,6.388,8262,Marvel Studios | Kevin Feige Productions
453395,tt9419884,Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,2022-05-04,2022,en,126,Fantasy | Action | Adventure,290000000,955775804,12.163,7.235,9942,Marvel Studios | Kevin Feige Productions
615173,tt13721828,The Witch: Part 2. The Other One,마녀(魔女) Part2. The Other One,2022-06-15,2022,ko,137,Action | Mystery | Thriller | Science Fiction,0,23068596,13.0079,7.351,407,Peppermint & Company | Next Entertainment World | Studio & New | Goldmoon Film | Contents Panda | Warner Bros. Korea
899112,tt12003946,Violent Night,Violent Night,2022-11-30,2022,en,111,Action | Comedy | Fantasy,20000000,75734910,17.3712,7.24,2423,87North Productions | Universal Pictures | Original Pictures
315162,tt3915174,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,2022-12-07,2022,en,103,Animation | Adventure | Fantasy | Comedy | Family,90000000,484700000,13.6416,8.208,8534,DreamWorks Animation
505642,tt9114286,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,2022-11-09,2022,en,162,Action | Adventure | Science Fiction,250000000,859102154,11.0149,7.021,7157,Marvel Studios
507086,tt8041270,Jurassic World Dominion,Jurassic World Dominion,2022-06-01,2022,en,147,Adventure | Action | Science Fiction,583900000,1004004592,12.2996,6.626,6777,Amblin Entertainment | Universal Pictures
829560,tt21106646,The Next 365 Days,Kolejne 365 dni,2022-08-18,2022,pl,112,Romance | Drama,0,0,11.3341,6.385,1274,Ekipa | Open Mind Production
579974,tt8178634,RRR,రౌద్రం రణం రుధిరం,2022-03-24,2022,te,185,Action | Adventure | Drama,69000000,1.6e+08,10.7062,7.74,1491,DVV Entertainment
851644,tt15340724,20th Century Girl,20세기 소녀,2022-10-06,2022,ko,119,Romance | Drama,119,0,10.4774,8.1,779,Yong Film | CJ ENM Studios
545611,tt6710474,Everything Everywhere All at Once,Everything Everywhere All at Once,2022-03-24,2022,en,140,Action | Adventure | Science Fiction,25000000,139200000,10.2121,7.728,7505,IAC Films | AGBO | Ley Line Entertainment | Year of the Rat
718930,tt12593682,Bullet Train,Bullet Train,2022-08-03,2022,en,126,Action | Comedy | Thriller,90000000,239300000,8.5333,7.419,7110,87North Productions | Columbia Pictures
629542,tt8115900,The Bad Guys,The Bad Guys,2022-03-17,2022,en,100,Family | Comedy | Crime | Adventure | Animation | Action,80000000,250162278,10.2019,7.529,2409,DreamWorks Animation
760104,tt13560574,X,X,2022-03-17,2022,en,106,Horror | Thriller,1000000,15113105,10.2156,6.731,3760,A24 | Little Lamb Productions
508947,tt8097030,Turning Red,Turning Red,2022-03-10,2022,en,100,Animation | Family | Comedy | Fantasy,175000000,0,9.2541,7.3,5611,Pixar
49046,tt1016150,All Quiet on the Western Front,Im Westen nichts Neues,2022-10-07,2022,de,147,War | History | Drama,20000000,0,10.4718,7.724,4423,Amusement Park Films | Gunpowder Films
937278,tt7405458,A Man Called Otto,A Man Called Otto,2022-12-28,2022,en,126,Comedy | Drama,50000000,108961677,9.3064,7.757,3368,Playtone | SF Studios | Artistic Films | Columbia Pictures | 2DUX² | TSG Entertainment
985939,tt15325794,Fall,Fall,2022-08-11,2022,en,107,Thriller,3000000,17363261,8.7257,7.118,4347,Tea Shop Productions | Capstone Pictures | Lionsgate | Eagle Films
585083,tt9848626,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania,2022-01-31,2022,en,92,Animation | Comedy | Family | Adventure | Fantasy,75000000,18500000,8.5119,7.046,2949,Sony Pictures Animation | Sony Pictures | MRC | Columbia Pictures
585511,tt7214954,Luck,Luck,2022-08-05,2022,en,105,Animation | Adventure | Comedy | Fantasy,0,0,8.3918,7.746,1874,Skydance Animation | Skydance Animation East | Skydance Animation
601796,tt20168564,Alienoid,외계+인 1부,2022-07-20,2022,ko,142,Science Fiction | Action | Fantasy | Adventure,24500000,12109608,7.7446,6.8,498,Caper Film | CJ Entertainment
675353,tt12412888,Sonic the Hedgehog 2,Sonic the Hedgehog 2,2022-03-30,2022,en,123,Action | Adventure | Family | Comedy,110000000,405421518,8.7466,7.443,5718,Original Film | Blur Studio | Marza Animation Planet | Paramount Pictures | SEGA | SEGA of America
646385,tt11245972,Scream,Scream,2022-01-12,2022,en,114,Horror | Mystery,24000000,137743924,7.5248,6.69,3641,Paramount Pictures | Project X Entertainment | Radio Silence | Spyglass Media Group
522016,tt8356942,The 355,The 355,2022-01-05,2022,en,122,Action | Adventure | Thriller,75000000,55700000,7.8,6.035,1088,Freckle Films | Genre Films | FilmNation Entertainment | Universal Pictures | DEMEI Holdings Limited | CNC | Firstep | Episode Films Co. | Zak Productions
698508,tt11365186,Redeeming Love,Redeeming Love,2022-01-21,2022,en,134,Romance | Drama | Western,30000000,9464198,8.9793,7.845,676,Mission Pictures International | Advantage Entertainment | Pinnacle Peak Pictures | Nthibah Pictures | Universal Pictures
593643,tt9764362,The Menu,The Menu,2022-11-17,2022,en,107,Comedy | Horror | Thriller,35000000,79628200,7.804,7.171,5769,Hyperobject Industries | Searchlight Pictures | Gary Sanchez Productions | TSG Entertainment
